Ticker,MICROSOFT CORPORATION (XNAS:MSFT),"Microsoft Corporation is a technology company. The Company develops and supports software, services, devices, and solutions. The Company’s segments include Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment consists of products and services in its portfolio of productivity, communication, and information services. This segment primarily comprises: Office Commercial, Office Consumer, LinkedIn, and Dynamics business solutions. The Intelligent Cloud segment consists of server products and cloud services, including Azure and other cloud services, SQL Server, Windows Server, Visual Studio, System Center, and related Client Access Licenses (CALs), and Nuance and GitHub; and Enterprise Services, including enterprise support services, industry solutions and Nuance professional services. The More Personal Computing segment primarily comprises Windows, Devices, Gaming, and search and news advertising.",MICROSOFT CORPORATION,,,,,,,,,,,
End Date,27/02/2026,,Variance log-returns (daily),0.000287076,,T,1,,u,1.088777,,,,
Lookback,10,,StDev log-returns (daily),0.016943329,,N time steps,10,,d,0.918462,,,,
Start Date,01/03/2016,,No. of obs.,252,,dt,0.1,,r,0.038,,,,
Frequency,0,,StDev (annualized),0.268967007,,,,,q,0.501103,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Closing price,Log-returns,,,,,,,,,,,,
08/03/2021, $227.39 ,-0.018345141,,,,,,,,,,,,
09/03/2021, $233.78 ,0.027713897,,,,,,,,,,,,
10/03/2021, $232.42 ,-0.005834422,,,,,,,,,,,,
11/03/2021, $237.13 ,0.020062434,,,,,,,,,,,,
12/03/2021, $235.75 ,-0.005836592,,,,,,,,,,,,
15/03/2021, $234.81 ,-0.003995245,,,,,,,,,,,,
16/03/2021, $237.71 ,0.012274767,,,,,,,,,,,,
17/03/2021, $237.04 ,-0.00282254,,,,,,,,,,,,
18/03/2021, $230.72 ,-0.027024049,,,,,,,,,,,,
19/03/2021, $230.35 ,-0.001604963,,,,,,,,,,,,
22/03/2021, $235.99 ,0.02418954,,,,,,,,,,,,
23/03/2021, $237.58 ,0.006714978,,,,,,,,,,,,
24/03/2021, $235.46 ,-0.008963361,,,,,,,,,,,,
25/03/2021, $232.34 ,-0.013339232,,,,,,,,,,,,
26/03/2021, $236.48 ,0.017661822,,,,,,,,,,,,
29/03/2021, $235.24 ,-0.005257368,,,,,,,,,,,,
30/03/2021, $231.85 ,-0.014515659,,,,,,,,,,,,
31/03/2021, $235.77 ,0.016766143,,,,,,,,,,,,
01/04/2021, $242.35 ,0.027526209,,,,,,,,,,,,
05/04/2021, $249.07 ,0.027351019,,,,,,,,,,,,
06/04/2021, $247.86 ,-0.004869911,,,,,,,,,,,,
07/04/2021, $249.90 ,0.008196767,,,,,,,,,,,,
08/04/2021, $253.25 ,0.013316305,,,,,,,,,,,,
09/04/2021, $255.85 ,0.010214192,,,,,,,,,,,,
12/04/2021, $255.91 ,0.000234485,,,,,,,,,,,,
13/04/2021, $258.49 ,0.010031188,,,,,,,,,,,,
14/04/2021, $255.59 ,-0.01128241,,,,,,,,,,,,
15/04/2021, $259.50 ,0.015182104,,,,,,,,,,,,
16/04/2021, $260.74 ,0.00476704,,,,,,,,,,,,
19/04/2021, $258.74 ,-0.007700046,,,,,,,,,,,,
20/04/2021, $258.26 ,-0.001856867,,,,,,,,,,,,
21/04/2021, $260.58 ,0.008943086,,,,,,,,,,,,
22/04/2021, $257.17 ,-0.013172571,,,,,,,,,,,,
23/04/2021, $261.15 ,0.01535761,,,,,,,,,,,,
26/04/2021, $261.55 ,0.001530515,,,,,,,,,,,,
27/04/2021, $261.97 ,0.001604524,,,,,,,,,,,,
28/04/2021, $254.56 ,-0.028693429,,,,,,,,,,,,
29/04/2021, $252.51 ,-0.008085713,,,,,,,,,,,,
30/04/2021, $252.18 ,-0.001307734,,,,,,,,,,,,
03/05/2021, $251.86 ,-0.001269741,,,,,,,,,,,,
04/05/2021, $247.79 ,-0.016291764,,,,,,,,,,,,
05/05/2021, $246.47 ,-0.005341331,,,,,,,,,,,,
06/05/2021, $249.73 ,0.013140052,,,,,,,,,,,,
07/05/2021, $252.46 ,0.010872486,,,,,,,,,,,,
10/05/2021, $247.18 ,-0.021136004,,,,,,,,,,,,
11/05/2021, $246.23 ,-0.003850758,,,,,,,,,,,,
12/05/2021, $239.00 ,-0.029802507,,,,,,,,,,,,
13/05/2021, $243.03 ,0.016721341,,,,,,,,,,,,
14/05/2021, $248.15 ,0.02084851,,,,,,,,,,,,
17/05/2021, $245.18 ,-0.012040767,,,,,,,,,,,,
18/05/2021, $243.08 ,-0.008602027,,,,,,,,,,,,
19/05/2021, $243.12 ,0.000164541,,,,,,,,,,,,
20/05/2021, $246.48 ,0.013725706,,,,,,,,,,,,
21/05/2021, $245.17 ,-0.005329007,,,,,,,,,,,,
24/05/2021, $250.78 ,0.022624213,,,,,,,,,,,,
25/05/2021, $251.72 ,0.003741298,,,,,,,,,,,,
26/05/2021, $251.49 ,-0.000914131,,,,,,,,,,,,
