Ticker,MICROSOFT CORPORATION (XNAS:MSFT),"Microsoft Corporation is a technology company. The Company develops and supports software, services, devices, and solutions. The Company’s segments include Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment consists of products and services in its portfolio of productivity, communication, and information services. This segment primarily comprises: Office Commercial, Office Consumer, LinkedIn, and Dynamics business solutions. The Intelligent Cloud segment consists of server products and cloud services, including Azure and other cloud services, SQL Server, Windows Server, Visual Studio, System Center, and related Client Access Licenses (CALs), and Nuance and GitHub; and Enterprise Services, including enterprise support services, industry solutions and Nuance professional services. The More Personal Computing segment primarily comprises Windows, Devices, Gaming, and search and news advertising.",MICROSOFT CORPORATION,,,,,,,,,,,
End Date,27/02/2026,,Variance log-returns (daily),0.000287076,,T,1,,u,1.088777,,,,
Lookback,10,,StDev log-returns (daily),0.016943329,,N time steps,10,,d,0.918462,,,,
Start Date,01/03/2016,,No. of obs.,252,,dt,0.1,,r,0.038,,,,
Frequency,0,,StDev (annualized),0.268967007,,,,,q,0.501103,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Closing price,Log-returns,,,,,,,,,,,,
25/05/2016, $52.12 ,0.010220897,,,,,,,,,,,228.15,
26/05/2016, $51.89 ,-0.004422659,,,,,,,,,,,,244.61
27/05/2016, $52.32 ,0.008252614,,,,,,,,,,,,
31/05/2016, $53.00 ,0.012913206,,,,,,,,,,,,
01/06/2016, $52.85 ,-0.002834201,,,,,,,,,,,,
02/06/2016, $52.48 ,-0.007025568,,Q4,,,,,,,,,,
03/06/2016, $51.79 ,-0.013235064,,ratio,105%,,,,,,,,,
06/06/2016, $52.13 ,0.006543518,,Strike price,412.377,,,,,,,,,
07/06/2016, $52.10 ,-0.00057565,,discount factor,0.996207211,,,,,,,,,
08/06/2016, $52.04 ,-0.001152295,,,,,,,,,,,,
09/06/2016, $51.62 ,-0.008103459,,Time,,,,,,,,,,
10/06/2016, $51.48 ,-0.002715812,,0,1,2,3,4,5,6,7,8,9,10
13/06/2016, $50.14 ,-0.02637429,,,,,,,,,,,,0.00
14/06/2016, $49.83 ,-0.00620188,,,,,,,,,,,0.00,
15/06/2016, $49.69 ,-0.002813507,,,,,,,,,,0.00,,0.00
16/06/2016, $50.39 ,0.013989037,,,,,,,,,0.00,,0.00,
17/06/2016, $50.13 ,-0.005173111,,,,,,,,0.00,,0.00,,0.00
20/06/2016, $50.07 ,-0.001197605,,,,,,,0.60,,0.00,,0.00,
21/06/2016, $51.19 ,0.022122174,,,,,,3.05,,1.20,,0.00,,0.00
22/06/2016, $50.99 ,-0.003914665,,,,,8.59,,5.54,,2.41,,0.00,
23/06/2016, $51.91 ,0.017881915,,,,17.86,,14.23,,9.95,,4.85,,0.00
24/06/2016, $49.83 ,-0.040894238,,,30.90,,27.31,,23.06,,17.60,,9.76,
27/06/2016, $48.43 ,-0.028497756,,47.2531,,44.22,,40.66,,36.39,,30.55,,19.64
28/06/2016, $49.44 ,0.020640357,,,64.04,,61.55,,58.65,,55.54,,51.66,
29/06/2016, $50.54 ,0.022005289,,,,84.44,,83.00,,81.45,,81.07,,81.07
30/06/2016, $51.17 ,0.012388321,,,,,108.09,,108.09,,108.09,,108.09,
01/07/2016, $51.16 ,-0.000195446,,,,,,132.90,,132.90,,132.90,,132.90
05/07/2016, $51.17 ,0.000195446,,,,,,,155.69,,155.69,,155.69,
06/07/2016, $51.38 ,0.004095569,,,,,,,,176.62,,176.62,,176.62
07/07/2016, $51.38 ,0,,,,,,,,,195.84,,195.84,
08/07/2016, $52.30 ,0.017747379,,,,,,,,,,213.50,,213.50
11/07/2016, $52.59 ,0.005529617,,,,,,,,,,,229.71,
12/07/2016, $53.21 ,0.011720361,,,,,,,,,,,,244.61
13/07/2016, $53.51 ,0.005622204,,,,,,,,,,,,
14/07/2016, $53.74 ,0.004289051,,,,,,,,,,,,
15/07/2016, $53.70 ,-0.000744602,,,,,,,,,,,,
18/07/2016, $53.96 ,0.00483003,,2.2338 ,,,,,,,,,,
19/07/2016, $53.09 ,-0.016254445,,,,,,,,,,,,
20/07/2016, $55.91 ,0.051754668,,,,,,,,,,,,
21/07/2016, $55.80 ,-0.001969386,,,,,,,,,,,,
22/07/2016, $56.57 ,0.01370494,,,,,,,,,,,,
25/07/2016, $56.73 ,0.002824362,,,,,,,,,,,,
26/07/2016, $56.76 ,0.000528681,,,,,,,,,,,,
27/07/2016, $56.19 ,-0.010093047,,,,,,,,,,,,
28/07/2016, $56.21 ,0.000355872,,,,,,,,,,,,
29/07/2016, $56.68 ,0.008326738,,,,,,,,,,,,
01/08/2016, $56.58 ,-0.001765849,,,,,,,,,,,,
02/08/2016, $56.58 ,0,,,,,,,,,,,,
03/08/2016, $56.97 ,0.006869248,,,,,,,,,,,,
04/08/2016, $57.39 ,0.007345259,,,,,,,,,,,,
05/08/2016, $57.96 ,0.009883045,,,,,,,,,,,,
08/08/2016, $58.06 ,0.001723841,,,,,,,,,,,,
09/08/2016, $58.20 ,0.002408396,,,,,,,,,,,,
10/08/2016, $58.02 ,-0.003097576,,,,,,,,,,,,
11/08/2016, $58.30 ,0.004814315,,,,,,,,,,,,
12/08/2016, $57.94 ,-0.006194101,,,,,,,,,,,,
15/08/2016, $58.12 ,0.003101846,,,,,,,,,,,,
16/08/2016, $57.44 ,-0.011768914,,,,,,,,,,,,
17/08/2016, $57.56 ,0.002086957,,,,,,,,,,,,
18/08/2016, $57.60 ,0.000694686,,,,,,,,,,,,
19/08/2016, $57.62 ,0.000347162,,,,,,,,,,,,
22/08/2016, $57.67 ,0.000867378,,,,,,,,,,,,
23/08/2016, $57.89 ,0.00380755,,,,,,,,,,,,
24/08/2016, $57.95 ,0.001035912,,,,,,,,,,,,
25/08/2016, $58.17 ,0.003789188,,,,,,,,,,,,
26/08/2016, $58.03 ,-0.00240964,,,,,,,,,,,,
29/08/2016, $58.10 ,0.001205546,,,,,,,,,,,,
30/08/2016, $57.89 ,-0.003621006,,,,,,,,,,,,
31/08/2016, $57.46 ,-0.007455605,,,,,,,,,,,,
01/09/2016, $57.59 ,0.002259888,,,,,,,,,,,,
02/09/2016, $57.67 ,0.001388166,,,,,,,,,,,,
06/09/2016, $57.61 ,-0.001040944,,,,,,,,,,,,
07/09/2016, $57.66 ,0.000867528,,,,,,,,,,,,
08/09/2016, $57.43 ,-0.003996877,,,,,,,,,,,,
09/09/2016, $56.21 ,-0.021472138,,,,,,,,,,,,
12/09/2016, $57.05 ,0.014833399,,,,,,,,,,,,
13/09/2016, $56.53 ,-0.009156606,,,,,,,,,,,,
14/09/2016, $56.26 ,-0.004787668,,,,,,,,,,,,
15/09/2016, $57.19 ,0.016395255,,,,,,,,,,,,
16/09/2016, $57.25 ,0.001048585,,,,,,,,,,,,
19/09/2016, $56.93 ,-0.005605199,,,,,,,,,,,,
20/09/2016, $56.81 ,-0.002110076,,,,,,,,,,,,
21/09/2016, $57.76 ,0.016584128,,,,,,,,,,,,
22/09/2016, $57.82 ,0.001038242,,,,,,,,,,,,
23/09/2016, $57.43 ,-0.006767922,,,,,,,,,,,,
26/09/2016, $56.90 ,-0.009271474,,,,,,,,,,,,
27/09/2016, $57.95 ,0.018285229,,,,,,,,,,,,
28/09/2016, $58.03 ,0.001379548,,,,,,,,,,,,
29/09/2016, $57.40 ,-0.010915815,,,,,,,,,,,,
30/09/2016, $57.60 ,0.003478264,,,,,,,,,,,,
03/10/2016, $57.42 ,-0.003129893,,,,,,,,,,,,
04/10/2016, $57.24 ,-0.00313972,,,,,,,,,,,,
05/10/2016, $57.64 ,0.006963816,,,,,,,,,,,,
06/10/2016, $57.74 ,0.001733403,,,,,,,,,,,,
07/10/2016, $57.80 ,0.001038601,,,,,,,,,,,,
10/10/2016, $58.04 ,0.004143652,,,,,,,,,,,,
11/10/2016, $57.19 ,-0.01475337,,,,,,,,,,,,
12/10/2016, $57.11 ,-0.001399825,,,,,,,,,,,,
13/10/2016, $56.92 ,-0.003332459,,,,,,,,,,,,
14/10/2016, $57.42 ,0.008745901,,,,,,,,,,,,
17/10/2016, $57.22 ,-0.003489187,,,,,,,,,,,,
18/10/2016, $57.66 ,0.007660205,,,,,,,,,,,,
19/10/2016, $57.53 ,-0.002257141,,,,,,,,,,,,
20/10/2016, $57.25 ,-0.004878908,,,,,,,,,,,,
21/10/2016, $59.66 ,0.041234137,,,,,,,,,,,,
24/10/2016, $61.00 ,0.022212085,,,,,,,,,,,,
25/10/2016, $60.99 ,-0.000163948,,,,,,,,,,,,
26/10/2016, $60.63 ,-0.005920096,,,,,,,,,,,,
27/10/2016, $60.10 ,-0.008779979,,,,,,,,,,,,
28/10/2016, $59.87 ,-0.003834297,,,,,,,,,,,,
31/10/2016, $59.92 ,0.000834794,,,,,,,,,,,,
01/11/2016, $59.80 ,-0.002004678,,,,,,,,,,,,
02/11/2016, $59.43 ,-0.006206512,,,,,,,,,,,,
03/11/2016, $59.21 ,-0.003708703,,,,,,,,,,,,
04/11/2016, $58.71 ,-0.008480376,,,,,,,,,,,,
07/11/2016, $60.42 ,0.028710106,,,,,,,,,,,,
08/11/2016, $60.47 ,0.000827198,,,,,,,,,,,,
09/11/2016, $60.17 ,-0.004973485,,,,,,,,,,,,
10/11/2016, $58.70 ,-0.024734162,,,,,,,,,,,,
11/11/2016, $59.02 ,0.005436643,,,,,,,,,,,,
14/11/2016, $58.12 ,-0.015366531,,,,,,,,,,,,
15/11/2016, $58.87 ,0.012821784,,,,,,,,,,,,
16/11/2016, $59.65 ,0.013162526,,,,,,,,,,,,
17/11/2016, $60.64 ,0.016460593,,,,,,,,,,,,
18/11/2016, $60.35 ,-0.004793794,,,,,,,,,,,,
21/11/2016, $60.86 ,0.008415197,,,,,,,,,,,,
22/11/2016, $61.12 ,0.004263,,,,,,,,,,,,
23/11/2016, $60.40 ,-0.01185004,,,,,,,,,,,,
25/11/2016, $60.53 ,0.002150005,,,,,,,,,,,,
28/11/2016, $60.61 ,0.001320786,,,,,,,,,,,,
29/11/2016, $61.09 ,0.007888291,,,,,,,,,,,,
30/11/2016, $60.26 ,-0.013679653,,,,,,,,,,,,
01/12/2016, $59.20 ,-0.017746992,,,,,,,,,,,,
02/12/2016, $59.25 ,0.000844238,,,,,,,,,,,,
05/12/2016, $60.22 ,0.016238743,,,,,,,,,,,,
06/12/2016, $59.95 ,-0.004493642,,,,,,,,,,,,
07/12/2016, $61.37 ,0.023410235,,,,,,,,,,,,
08/12/2016, $61.01 ,-0.005883331,,,,,,,,,,,,
09/12/2016, $61.97 ,0.015612612,,,,,,,,,,,,
12/12/2016, $62.17 ,0.003222171,,,,,,,,,,,,
13/12/2016, $62.98 ,0.012944647,,,,,,,,,,,,
14/12/2016, $62.68 ,-0.004774798,,,,,,,,,,,,
15/12/2016, $62.58 ,-0.001596679,,,,,,,,,,,,
16/12/2016, $62.30 ,-0.004484312,,,,,,,,,,,,
19/12/2016, $63.62 ,0.020966461,,,,,,,,,,,,
20/12/2016, $63.54 ,-0.001258257,,,,,,,,,,,,
21/12/2016, $63.54 ,0,,,,,,,,,,,,
22/12/2016, $63.55 ,0.000157369,,,,,,,,,,,,
23/12/2016, $63.24 ,-0.004889985,,,,,,,,,,,,
27/12/2016, $63.28 ,0.000632311,,,,,,,,,,,,
28/12/2016, $62.99 ,-0.00459334,,,,,,,,,,,,
29/12/2016, $62.90 ,-0.00142982,,,,,,,,,,,,
30/12/2016, $62.14 ,-0.01215626,,,,,,,,,,,,
03/01/2017, $62.58 ,0.007055834,,,,,,,,,,,,
04/01/2017, $62.30 ,-0.004484312,,,,,,,,,,,,
05/01/2017, $62.30 ,0,,,,,,,,,,,,
06/01/2017, $62.84 ,0.008630388,,,,,,,,,,,,
09/01/2017, $62.64 ,-0.003187762,,,,,,,,,,,,
10/01/2017, $62.62 ,-0.000319336,,,,,,,,,,,,
11/01/2017, $63.19 ,0.009061345,,,,,,,,,,,,
12/01/2017, $62.61 ,-0.009221051,,,,,,,,,,,,
13/01/2017, $62.70 ,0.001436438,,,,,,,,,,,,
17/01/2017, $62.53 ,-0.002715006,,,,,,,,,,,,
18/01/2017, $62.50 ,-0.000479885,,,,,,,,,,,,
19/01/2017, $62.30 ,-0.003205131,,,,,,,,,,,,
20/01/2017, $62.74 ,0.007037777,,,,,,,,,,,,
23/01/2017, $62.96 ,0.003500401,,,,,,,,,,,,
24/01/2017, $63.52 ,0.008855213,,,,,,,,,,,,
25/01/2017, $63.68 ,0.002515725,,,,,,,,,,,,
26/01/2017, $64.27 ,0.009222418,,,,,,,,,,,,
27/01/2017, $65.78 ,0.023222881,,,,,,,,,,,,
30/01/2017, $65.13 ,-0.009930568,,,,,,,,,,,,
31/01/2017, $64.65 ,-0.007397167,,,,,,,,,,,,
01/02/2017, $63.58 ,-0.01668915,,,,,,,,,,,,
02/02/2017, $63.17 ,-0.006469451,,,,,,,,,,,,
03/02/2017, $63.68 ,0.008041037,,,,,,,,,,,,
06/02/2017, $63.64 ,-0.000628338,,,,,,,,,,,,
07/02/2017, $63.43 ,-0.003305268,,,,,,,,,,,,
08/02/2017, $63.34 ,-0.001419895,,,,,,,,,,,,
09/02/2017, $64.06 ,0.011303103,,,,,,,,,,,,
10/02/2017, $64.00 ,-0.000937061,,,,,,,,,,,,
13/02/2017, $64.72 ,0.011187189,,,,,,,,,,,,
14/02/2017, $64.57 ,-0.002320366,,,,,,,,,,,,
15/02/2017, $64.53 ,-0.000619675,,,,,,,,,,,,
16/02/2017, $64.52 ,-0.000154979,,,,,,,,,,,,
17/02/2017, $64.62 ,0.001548707,,,,,,,,,,,,
21/02/2017, $64.49 ,-0.002013787,,,,,,,,,,,,
22/02/2017, $64.36 ,-0.002017851,,,,,,,,,,,,
23/02/2017, $64.62 ,0.004031638,,,,,,,,,,,,
24/02/2017, $64.62 ,0,,,,,,,,,,,,
27/02/2017, $64.23 ,-0.006053569,,,,,,,,,,,,
28/02/2017, $63.98 ,-0.003899857,,,,,,,,,,,,
01/03/2017, $64.94 ,0.014893232,,,,,,,,,,,,
02/03/2017, $64.01 ,-0.014424446,,,,,,,,,,,,
03/03/2017, $64.25 ,0.003742403,,,,,,,,,,,,
06/03/2017, $64.27 ,0.000311236,,,,,,,,,,,,
07/03/2017, $64.40 ,0.002020674,,,,,,,,,,,,
08/03/2017, $64.99 ,0.009119779,,,,,,,,,,,,
09/03/2017, $64.73 ,-0.004008639,,,,,,,,,,,,
10/03/2017, $64.93 ,0.003084994,,,,,,,,,,,,
13/03/2017, $64.71 ,-0.003394017,,,,,,,,,,,,
14/03/2017, $64.41 ,-0.004646849,,,,,,,,,,,,
15/03/2017, $64.75 ,0.0052648,,,,,,,,,,,,
16/03/2017, $64.64 ,-0.001700286,,,,,,,,,,,,
17/03/2017, $64.87 ,0.003551853,,,,,,,,,,,,
20/03/2017, $64.93 ,0.000924499,,,,,,,,,,,,
21/03/2017, $64.21 ,-0.011150805,,,,,,,,,,,,
22/03/2017, $65.03 ,0.01268974,,,,,,,,,,,,
23/03/2017, $64.87 ,-0.002463435,,,,,,,,,,,,
24/03/2017, $64.98 ,0.001694263,,,,,,,,,,,,
27/03/2017, $65.10 ,0.001845019,,,,,,,,,,,,
28/03/2017, $65.29 ,0.002914336,,,,,,,,,,,,
29/03/2017, $65.47 ,0.002753137,,,,,,,,,,,,
30/03/2017, $65.71 ,0.003659098,,,,,,,,,,,,
31/03/2017, $65.86 ,0.002280156,,,,,,,,,,,,
03/04/2017, $65.55 ,-0.004718067,,,,,,,,,,,,
04/04/2017, $65.73 ,0.002742232,,,,,,,,,,,,
05/04/2017, $65.56 ,-0.002589688,,,,,,,,,,,,
06/04/2017, $65.73 ,0.002589688,,,,,,,,,,,,
07/04/2017, $65.68 ,-0.000760977,,,,,,,,,,,,
10/04/2017, $65.53 ,-0.002286412,,,,,,,,,,,,
11/04/2017, $65.48 ,-0.000763301,,,,,,,,,,,,
12/04/2017, $65.23 ,-0.003825267,,,,,,,,,,,,
13/04/2017, $64.95 ,-0.004301743,,,,,,,,,,,,
17/04/2017, $65.48 ,0.008127009,,,,,,,,,,,,
18/04/2017, $65.39 ,-0.001375411,,,,,,,,,,,,
19/04/2017, $65.04 ,-0.005366876,,,,,,,,,,,,
20/04/2017, $65.50 ,0.007047677,,,,,,,,,,,,
21/04/2017, $66.40 ,0.013646914,,,,,,,,,,,,
24/04/2017, $67.53 ,0.016874887,,,,,,,,,,,,
25/04/2017, $67.92 ,0.005758598,,,,,,,,,,,,
26/04/2017, $67.83 ,-0.001325967,,,,,,,,,,,,
27/04/2017, $68.27 ,0.006465856,,,,,,,,,,,,
28/04/2017, $68.46 ,0.002779202,,,,,,,,,,,,
01/05/2017, $69.41 ,0.013781316,,,,,,,,,,,,
02/05/2017, $69.30 ,-0.001586043,,,,,,,,,,,,
03/05/2017, $69.08 ,-0.003179653,,,,,,,,,,,,
04/05/2017, $68.81 ,-0.00391617,,,,,,,,,,,,
05/05/2017, $69.00 ,0.002757421,,,,,,,,,,,,
08/05/2017, $68.94 ,-0.000869944,,,,,,,,,,,,
09/05/2017, $69.04 ,0.001449486,,,,,,,,,,,,
10/05/2017, $69.31 ,0.003903149,,,,,,,,,,,,
11/05/2017, $68.46 ,-0.012339563,,,,,,,,,,,,
12/05/2017, $68.38 ,-0.001169249,,,,,,,,,,,,
15/05/2017, $68.43 ,0.000730941,,,,,,,,,,,,
16/05/2017, $69.41 ,0.014219624,,,,,,,,,,,,
17/05/2017, $67.48 ,-0.028199692,,,,,,,,,,,,
18/05/2017, $67.71 ,0.003402622,,,,,,,,,,,,
19/05/2017, $67.69 ,-0.000295421,,,,,,,,,,,,
22/05/2017, $68.45 ,0.011165093,,,,,,,,,,,,
23/05/2017, $68.68 ,0.003354484,,,,,,,,,,,,
24/05/2017, $68.77 ,0.001309567,,,,,,,,,,,,
25/05/2017, $69.62 ,0.012284279,,,,,,,,,,,,
26/05/2017, $69.96 ,0.004871768,,,,,,,,,,,,
30/05/2017, $70.41 ,0.006411648,,,,,,,,,,,,
31/05/2017, $69.84 ,-0.008128387,,,,,,,,,,,,
01/06/2017, $70.10 ,0.003715883,,,,,,,,,,,,
02/06/2017, $71.76 ,0.023404424,,,,,,,,,,,,
05/06/2017, $72.28 ,0.007220248,,,,,,,,,,,,
06/06/2017, $72.52 ,0.00331492,,,,,,,,,,,,
07/06/2017, $72.39 ,-0.001794218,,,,,,,,,,,,
08/06/2017, $71.95 ,-0.006096735,,,,,,,,,,,,
09/06/2017, $70.32 ,-0.02291518,,,,,,,,,,,,
12/06/2017, $69.78 ,-0.007708818,,,,,,,,,,,,
13/06/2017, $70.65 ,0.012390673,,,,,,,,,,,,
14/06/2017, $70.27 ,-0.005393144,,,,,,,,,,,,
15/06/2017, $69.90 ,-0.005279316,,,,,,,,,,,,
16/06/2017, $70.00 ,0.001429593,,,,,,,,,,,,
19/06/2017, $70.87 ,0.012351971,,,,,,,,,,,,
20/06/2017, $69.91 ,-0.013638512,,,,,,,,,,,,
21/06/2017, $70.27 ,0.005136265,,,,,,,,,,,,
22/06/2017, $70.26 ,-0.000142318,,,,,,,,,,,,
23/06/2017, $71.21 ,0.013430611,,,,,,,,,,,,
26/06/2017, $70.53 ,-0.009595107,,,,,,,,,,,,
27/06/2017, $69.21 ,-0.01889279,,,,,,,,,,,,
28/06/2017, $69.80 ,0.008488649,,,,,,,,,,,,
29/06/2017, $68.49 ,-0.018946261,,,,,,,,,,,,
30/06/2017, $68.93 ,0.006403748,,,,,,,,,,,,
03/07/2017, $68.17 ,-0.011086912,,,,,,,,,,,,
05/07/2017, $69.08 ,0.013260668,,,,,,,,,,,,
06/07/2017, $68.57 ,-0.007410132,,,,,,,,,,,,
07/07/2017, $69.46 ,0.012895926,,,,,,,,,,,,
10/07/2017, $69.98 ,0.00745844,,,,,,,,,,,,
11/07/2017, $69.99 ,0.000142888,,,,,,,,,,,,
12/07/2017, $71.15 ,0.01643795,,,,,,,,,,,,
13/07/2017, $71.77 ,0.008676237,,,,,,,,,,,,
14/07/2017, $72.78 ,0.013974631,,,,,,,,,,,,
17/07/2017, $73.35 ,0.007801312,,,,,,,,,,,,
18/07/2017, $73.30 ,-0.000681896,,,,,,,,,,,,
19/07/2017, $73.86 ,0.007610801,,,,,,,,,,,,
20/07/2017, $74.22 ,0.004862246,,,,,,,,,,,,
21/07/2017, $73.79 ,-0.005810435,,,,,,,,,,,,
24/07/2017, $73.60 ,-0.002578195,,,,,,,,,,,,
25/07/2017, $74.19 ,0.007984344,,,,,,,,,,,,
26/07/2017, $74.05 ,-0.001888829,,,,,,,,,,,,
27/07/2017, $73.16 ,-0.012091717,,,,,,,,,,,,
28/07/2017, $73.04 ,-0.001641587,,,,,,,,,,,,
31/07/2017, $72.70 ,-0.004665852,,,,,,,,,,,,
01/08/2017, $72.58 ,-0.001651983,,,,,,,,,,,,
02/08/2017, $72.26 ,-0.004418676,,,,,,,,,,,,
03/08/2017, $72.15 ,-0.00152344,,,,,,,,,,,,
04/08/2017, $72.68 ,0.007318958,,,,,,,,,,,,
07/08/2017, $72.40 ,-0.003859944,,,,,,,,,,,,
08/08/2017, $72.79 ,0.005372284,,,,,,,,,,,,
09/08/2017, $72.47 ,-0.0044059,,,,,,,,,,,,
10/08/2017, $71.41 ,-0.014734768,,,,,,,,,,,,
11/08/2017, $72.50 ,0.015148646,,,,,,,,,,,,
14/08/2017, $73.59 ,0.014922585,,,,,,,,,,,,
15/08/2017, $73.22 ,-0.005040539,,,,,,,,,,,,
16/08/2017, $73.65 ,0.005855535,,,,,,,,,,,,
17/08/2017, $72.40 ,-0.017117844,,,,,,,,,,,,
18/08/2017, $72.49 ,0.001242322,,,,,,,,,,,,
21/08/2017, $72.15 ,-0.004701336,,,,,,,,,,,,
22/08/2017, $73.16 ,0.013901538,,,,,,,,,,,,
23/08/2017, $72.72 ,-0.006032374,,,,,,,,,,,,
24/08/2017, $72.69 ,-0.000412626,,,,,,,,,,,,
25/08/2017, $72.82 ,0.001786819,,,,,,,,,,,,
28/08/2017, $72.83 ,0.000137315,,,,,,,,,,,,
29/08/2017, $73.05 ,0.00301618,,,,,,,,,,,,
30/08/2017, $74.01 ,0.013056081,,,,,,,,,,,,
31/08/2017, $74.77 ,0.010216516,,,,,,,,,,,,
01/09/2017, $73.94 ,-0.011162782,,,,,,,,,,,,
05/09/2017, $73.61 ,-0.004473067,,,,,,,,,,,,
06/09/2017, $73.40 ,-0.00285695,,,,,,,,,,,,
07/09/2017, $74.34 ,0.012725229,,,,,,,,,,,,
08/09/2017, $73.98 ,-0.004854378,,,,,,,,,,,,
11/09/2017, $74.76 ,0.010488196,,,,,,,,,,,,
12/09/2017, $74.68 ,-0.001070664,,,,,,,,,,,,
13/09/2017, $75.21 ,0.007071882,,,,,,,,,,,,
14/09/2017, $74.77 ,-0.005867466,,,,,,,,,,,,
15/09/2017, $75.31 ,0.007196193,,,,,,,,,,,,
18/09/2017, $75.16 ,-0.001993754,,,,,,,,,,,,
19/09/2017, $75.44 ,0.003718464,,,,,,,,,,,,
20/09/2017, $74.94 ,-0.006649845,,,,,,,,,,,,
21/09/2017, $74.21 ,-0.009788881,,,,,,,,,,,,
22/09/2017, $74.41 ,0.002691429,,,,,,,,,,,,
25/09/2017, $73.26 ,-0.015575584,,,,,,,,,,,,
26/09/2017, $73.26 ,0,,,,,,,,,,,,
27/09/2017, $73.85 ,0.008021252,,,,,,,,,,,,
28/09/2017, $73.87 ,0.000270783,,,,,,,,,,,,
29/09/2017, $74.49 ,0.008358097,,,,,,,,,,,,
02/10/2017, $74.61 ,0.001609658,,,,,,,,,,,,
03/10/2017, $74.26 ,-0.004702098,,,,,,,,,,,,
04/10/2017, $74.69 ,0.005773766,,,,,,,,,,,,
05/10/2017, $75.97 ,0.016992311,,,,,,,,,,,,
06/10/2017, $76.00 ,0.000394815,,,,,,,,,,,,
09/10/2017, $76.29 ,0.003808528,,,,,,,,,,,,
10/10/2017, $76.29 ,0,,,,,,,,,,,,
11/10/2017, $76.42 ,0.001702574,,,,,,,,,,,,
12/10/2017, $77.12 ,0.009118208,,,,,,,,,,,,
13/10/2017, $77.49 ,0.004786245,,,,,,,,,,,,
16/10/2017, $77.65 ,0.002062654,,,,,,,,,,,,
17/10/2017, $77.59 ,-0.000772997,,,,,,,,,,,,
18/10/2017, $77.61 ,0.000257732,,,,,,,,,,,,
19/10/2017, $77.91 ,0.003858029,,,,,,,,,,,,
20/10/2017, $78.81 ,0.011485578,,,,,,,,,,,,
23/10/2017, $78.83 ,0.000253743,,,,,,,,,,,,
24/10/2017, $78.86 ,0.000380493,,,,,,,,,,,,
25/10/2017, $78.63 ,-0.002920822,,,,,,,,,,,,
26/10/2017, $78.76 ,0.001651948,,,,,,,,,,,,
27/10/2017, $83.81 ,0.062147078,,,,,,,,,,,,
30/10/2017, $83.89 ,0.000954085,,,,,,,,,,,,
31/10/2017, $83.18 ,-0.008499483,,,,,,,,,,,,
01/11/2017, $83.18 ,0,,,,,,,,,,,,
02/11/2017, $84.05 ,0.010404926,,,,,,,,,,,,
03/11/2017, $84.14 ,0.001070218,,,,,,,,,,,,
06/11/2017, $84.47 ,0.003914364,,,,,,,,,,,,
07/11/2017, $84.27 ,-0.002370512,,,,,,,,,,,,
08/11/2017, $84.56 ,0.003435412,,,,,,,,,,,,
09/11/2017, $84.09 ,-0.005573688,,,,,,,,,,,,
10/11/2017, $83.87 ,-0.002619673,,,,,,,,,,,,
13/11/2017, $83.93 ,0.000715137,,,,,,,,,,,,
14/11/2017, $84.05 ,0.001428742,,,,,,,,,,,,
15/11/2017, $82.98 ,-0.012812245,,,,,,,,,,,,
16/11/2017, $83.20 ,0.002647733,,,,,,,,,,,,
17/11/2017, $82.40 ,-0.009661911,,,,,,,,,,,,
20/11/2017, $82.53 ,0.001576427,,,,,,,,,,,,
21/11/2017, $83.72 ,0.014316034,,,,,,,,,,,,
22/11/2017, $83.11 ,-0.007312866,,,,,,,,,,,,
24/11/2017, $83.26 ,0.00180321,,,,,,,,,,,,
27/11/2017, $83.87 ,0.007299739,,,,,,,,,,,,
28/11/2017, $84.88 ,0.011970513,,,,,,,,,,,,
29/11/2017, $83.34 ,-0.018309868,,,,,,,,,,,,
30/11/2017, $84.17 ,0.009909937,,,,,,,,,,,,
01/12/2017, $84.26 ,0.001068693,,,,,,,,,,,,
04/12/2017, $81.08 ,-0.038470935,,,,,,,,,,,,
05/12/2017, $81.59 ,0.006270384,,,,,,,,,,,,
06/12/2017, $82.78 ,0.014479781,,,,,,,,,,,,
07/12/2017, $82.49 ,-0.003509412,,,,,,,,,,,,
08/12/2017, $84.16 ,0.020042675,,,,,,,,,,,,
11/12/2017, $85.23 ,0.012633736,,,,,,,,,,,,
12/12/2017, $85.58 ,0.004098126,,,,,,,,,,,,
13/12/2017, $85.35 ,-0.002691162,,,,,,,,,,,,
14/12/2017, $84.69 ,-0.007762918,,,,,,,,,,,,
15/12/2017, $86.85 ,0.025184962,,,,,,,,,,,,
18/12/2017, $86.38 ,-0.005426325,,,,,,,,,,,,
19/12/2017, $85.83 ,-0.006387572,,,,,,,,,,,,
20/12/2017, $85.52 ,-0.003618329,,,,,,,,,,,,
21/12/2017, $85.50 ,-0.000233891,,,,,,,,,,,,
22/12/2017, $85.51 ,0.000116952,,,,,,,,,,,,
26/12/2017, $85.40 ,-0.001287227,,,,,,,,,,,,
27/12/2017, $85.71 ,0.003623404,,,,,,,,,,,,
28/12/2017, $85.72 ,0.000116666,,,,,,,,,,,,
29/12/2017, $85.54 ,-0.002102068,,,,,,,,,,,,
02/01/2018, $85.95 ,0.004781629,,,,,,,,,,,,
03/01/2018, $86.35 ,0.004643073,,,,,,,,,,,,
